pm,keyword,score
Rajiv Gandhi,dimensions different details,0.4599
Rajiv Gandhi,does educated equivalently,0.4532
Rajiv Gandhi,wages package worker,0.4507
Rajiv Gandhi,little better food,0.4471
Rajiv Gandhi,interruptions unfortunately totally,0.423
Rajiv Gandhi,rates start falling,0.4034
Rajiv Gandhi,benefits improved salary,0.7377
Rajiv Gandhi,vidyalaya called elitist,0.626
Rajiv Gandhi,broader concept unfortunately,0.5813
Rajiv Gandhi,leave school education,0.5615
Rajiv Gandhi,does society start,0.5383
Rajiv Gandhi,seen textile mills,0.526
Rajiv Gandhi,refers brains think,0.523
Rajiv Gandhi,aesthetic values culture,0.5207
Rajiv Gandhi,debates want demands,0.5191
Rajiv Gandhi,able reach rural,0.4925
Rajiv Gandhi,just,0.4878
Rajiv Gandhi,invariably ends monetary,0.4824
Rajiv Gandhi,navodaya,0.4747
Rajiv Gandhi,feeling guilty talking,0.4548
Rajiv Gandhi,towns ndmc school,0.439
Rajiv Gandhi,culture bengal sought,0.7183
Rajiv Gandhi,major debates,0.6079
Rajiv Gandhi,ends monetary demands,0.5739
Rajiv Gandhi,amal datta said,0.5705
Rajiv Gandhi,chief ministers complaint,0.5407
Rajiv Gandhi,positions petty chauvinism,0.5229
Rajiv Gandhi,values spiritual values,0.511
Rajiv Gandhi,society economic growth,0.5093
Rajiv Gandhi,control invariably reflects,0.4645
Rajiv Gandhi,having step motherly,0.4569
Rajiv Gandhi,doubt directions given,0.4446
Rajiv Gandhi,number weeks,0.426
Rajiv Gandhi,make tool platform,0.4125
Rajiv Gandhi,know sitting,0.4118
Rajiv Gandhi,cast,0.3933
Rajiv Gandhi,bombay idea going,0.7173
Rajiv Gandhi,west bengal took,0.6188
Rajiv Gandhi,package responsibility state,0.5648
Rajiv Gandhi,chief lt governor,0.5635
Rajiv Gandhi,foreign policy targeted,0.5386
Rajiv Gandhi,mere change economic,0.5333
Rajiv Gandhi,developing countries countries,0.528
Rajiv Gandhi,ways colonialism imperialism,0.5195
Rajiv Gandhi,tremendous struggle,0.5087
Rajiv Gandhi,states gujarat kerala,0.5065
Rajiv Gandhi,actually accrues beneficiary,0.5049
Rajiv Gandhi,arunachal pradesh number,0.4991
Rajiv Gandhi,ensalaved attitude dropped,0.4855
Rajiv Gandhi,programmes programme centre,0.4478
Rajiv Gandhi,list exercise removing,0.3803
Rajiv Gandhi,determination,0.7159
Rajiv Gandhi,humanity panditji started,0.6541
Rajiv Gandhi,contemporary nation building,0.5887
Rajiv Gandhi,1979 international scene,0.5579
Rajiv Gandhi,instead helped pakistan,0.5497
Rajiv Gandhi,south africa just,0.5276
Rajiv Gandhi,violence negotiations bring,0.5208
Rajiv Gandhi,reykjavik summit took,0.5198
